0	1231	5
0	1453	5
0	4298	19
0	4385	19
0	4527	19
0	5387	24
0	7306	34
0	8410	38
0	9475	43
0	18067	81
0	18235	81
0	19343	86
0	19400	86
0	19474	86
0	19685	86
0	26339	115
0	27234	120
0	28361	124
0	28528	125
0	28573	125
0	29181	129
0	29483	129
0	30695	135
0	31690	140
0	32542	143
0	32859	143
0	32984	144
0	33992	149
0	34023	149
0	34980	153
0	35914	158
0	37008	161
0	37052	162
0	37085	162
0	38203	168
0	38218	168
0	38402	168
0	39489	173
0	39659	173
0	40220	176
0	40193	177
0	40382	177
0	40538	177
0	40650	177
0	41227	180
0	41694	182
0	43431	191
0	44705	195
0	45043	196
0	46066	200
1	6770	31
1	6786	31
1	12042	54
1	28119	123
1	28150	124
1	28365	124
1	29773	130
1	30762	134
1	30861	135
1	30962	135
1	31055	135
1	31184	137
1	31217	137
1	31290	137
1	31397	137
1	31513	138
1	31645	138
1	31832	138
1	31875	139
1	31892	139
1	31916	139
1	31972	139
1	32720	143
1	32862	143
1	32873	143
1	32901	144
1	33003	144
1	33475	146
1	34152	148
1	34211	148
1	34083	149
1	34200	149
1	35241	153
1	36903	163
1	37130	163
1	41939	182
1	45272	197
2	4881	22
2	5293	23
2	5329	23
2	6046	27
2	7032	32
2	7185	33
2	7267	34
2	7456	34
2	7515	34
2	7833	36
2	8270	37
2	9077	42
2	10253	47
2	11364	51
2	11454	51
2	12216	55
2	12378	56
2	12821	57
2	13854	62
2	13870	62
2	13898	62
2	14626	65
2	15993	71
2	16776	75
2	16844	75
2	16847	75
2	17974	81
2	18198	81
2	18967	84
2	18941	85
2	19114	85
2	19275	85
2	19443	86
2	20025	88
2	20194	89
2	20432	90
2	20541	90
2	21275	95
2	22313	99
2	22329	99
2	22345	99
2	22339	100
2	22637	100
2	23366	104
2	23492	104
2	23499	104
2	23644	104
2	23750	104
2	23789	104
2	23855	105
2	24447	108
2	24553	108
2	24758	109
2	24823	109
2	25563	113
2	25658	113
2	25731	113
2	26072	114
2	27087	119
2	27774	122
2	28063	123
2	28189	123
2	30519	133
2	31524	138
2	31526	138
2	31548	138
2	36986	161
2	37775	165
2	39021	170
2	38953	174
2	39854	174
2	40287	176
2	41524	181
2	41656	181
2	41657	181
2	41700	181
2	42243	184
2	42295	184
2	42352	184
2	42553	185
2	42554	185
2	42767	186
2	43530	190
2	45503	199
2	45537	199
2	45581	199
2	45814	199
2	45921	200
2	46727	204
3	2016	9
3	3127	14
3	3911	17
3	3785	18
3	4113	19
3	4239	19
3	5019	23
3	5207	23
3	6258	28
3	7159	33
3	7935	36
3	8142	37
3	8515	38
3	9291	42
3	9351	42
3	9386	42
3	9392	42
3	10484	47
3	10493	47
3	11304	52
3	11689	52
3	12705	57
3	12779	57
3	12785	57
3	13949	62
3	14876	66
3	15546	71
3	17066	76
3	17090	76
3	18052	80
3	18133	80
3	18187	80
3	18160	81
3	18216	81
3	18673	83
3	18847	83
3	18746	84
3	18814	84
3	18848	84
3	18877	84
3	18946	84
3	19340	86
3	19365	86
3	20026	88
3	20435	90
3	20409	91
3	20506	91
3	20623	91
3	21318	95
3	21421	95
3	21428	95
3	21434	95
3	21436	95
3	21633	96
3	22157	99
3	22223	100
3	23310	104
3	23537	104
3	23596	104
3	23953	105
3	24498	108
3	24638	108
3	24781	109
3	24489	110
3	25691	114
3	25811	114
3	25576	115
3	26775	118
3	27065	118
3	26787	119
3	26977	119
3	27157	119
3	27374	120
3	27803	123
3	27857	124
3	28464	124
3	29089	128
3	29417	129
3	30278	133
3	31255	137
3	32324	142
3	32381	142
3	32560	142
3	33568	146
3	33528	147
3	33760	147
3	33861	147
3	36073	158
3	37149	162
3	37730	166
3	38070	167
3	38269	167
3	39032	171
3	39370	172
3	40476	176
3	40582	177
3	41536	181
3	42133	184
3	42149	184
3	42639	186
3	42692	186
3	43147	188
3	43233	189
3	43255	189
3	43218	190
3	43546	191
3	44501	195
3	44927	196
3	45517	200
3	45586	200
3	45837	200
3	46846	204
4	68	0
4	98	0
4	1272	4
4	1403	5
4	2275	9
4	2370	9
4	3444	14
4	4346	19
4	4400	19
4	4459	19
4	4609	20
4	5189	23
4	5192	23
4	5418	24
4	6114	28
4	6410	29
4	7254	34
4	8121	37
4	8141	37
4	8206	37
4	8276	37
4	8346	37
4	8398	38
4	8459	38
4	9336	42
4	9496	43
4	10375	47
4	10477	47
4	10705	48
4	10802	48
4	11387	51
4	11470	52
4	11581	52
4	11829	52
4	12614	57
4	12845	57
4	14594	66
4	14860	66
4	14944	66
4	14926	67
4	16064	71
4	17251	77
4	19305	86
4	19315	86
4	19615	86
4	19654	86
4	19662	86
4	20301	90
4	20427	90
4	20466	90
4	20459	91
4	20622	91
4	21155	95
4	21276	95
4	21528	95
4	23547	104
4	23801	105
4	23879	105
4	24486	109
4	25543	114
4	25796	114
4	26300	115
4	26788	119
4	27048	119
4	27059	119
4	27167	119
4	28007	123
4	28073	123
4	28199	124
4	28338	124
4	28350	124
4	29328	128
4	29338	129
4	29471	129
4	30302	133
4	30660	134
4	31395	138
4	32627	143
4	32656	143
4	32708	143
4	32870	143
4	33880	147
4	35909	157
4	35958	157
4	36052	157
4	36072	157
4	36158	157
4	36170	158
4	37098	162
4	37101	162
4	37157	162
4	37222	162
4	37231	162
4	38224	167
4	38296	167
4	39413	172
4	41249	180
4	41380	181
4	41548	181
4	41687	181
4	42670	186
4	42811	186
4	42843	186
4	43788	191
4	43829	191
4	44861	195
4	44893	195
4	44909	195
4	45864	200
4	45912	200
4	45915	200
4	46072	200
5	190	0
5	467	1
5	3278	14
